alloy,fold,setting,model,r2,mae,pearson_r,pearson_p,n_train,n_test,n_features,elapsed_s
AZ31,2,exact,RF,0.2271091836761412,118.45012,0.4791700565781517,0.0707275887903002,60,15,2051.0,10.8
AZ31,2,far_filt,ChemProp,0.4326662541694231,106.59089076519012,0.8082084475883702,0.0002662385179967,4736,15,48.0,631.7
AZ31,2,far_filt,GBR,0.2470691689224526,126.1625297877727,0.5568591276701236,0.0310649057115844,4736,15,2096.0,1747.3
AZ31,2,far_filt,kNN_Tan,0.6802605450508477,69.89428374888469,0.8492902450190423,6.171606925802946e-05,4736,15,2096.0,0.0
AZ31,2,far_filt,MLP,0.0275923219079536,134.40854237874348,0.1922433083858055,0.4924559682782077,4736,15,2096.0,1018.7
AZ31,2,far_filt,RF,0.3019511491889374,113.95634511111112,0.567607916733028,0.0273111121592654,4736,15,2096.0,1392.9
AZ31,2,far_unfilt,ChemProp,0.8199916573021839,70.75634009043375,0.9275458284362844,6.421509139817543e-07,4854,15,48.0,671.8
AZ31,2,far_unfilt,GBR,0.7451462309541257,78.69047299453612,0.9329833990282488,3.919213488452987e-07,4854,15,2096.0,955.1
AZ31,2,far_unfilt,kNN_Tan,0.6751233274595545,59.57017395997919,0.928525242786715,5.891977050799228e-07,4854,15,2096.0,0.1
AZ31,2,far_unfilt,MLP,0.918289075553286,42.17311223347982,0.960962223321338,1.2509765488188045e-08,4854,15,2096.0,326.2
AZ31,2,far_unfilt,RF,0.5756448277142716,87.00237599999998,0.8540462289440635,5.071165564866285e-05,4854,15,2096.0,1645.5
AZ31,3,close_filt,ChemProp,0.0952081781378886,129.18651205301285,0.397035196948017,0.1428270831242971,789,15,43.0,47.6
AZ31,3,close_filt,GBR,-0.3107284710795941,175.1102810324853,-0.0519275491193073,0.854178524015197,789,15,2091.0,92.8
AZ31,3,close_filt,kNN_Tan,-0.2736565997554365,177.92601268232804,0.1857830318751837,0.5073810263794748,789,15,2091.0,0.0
AZ31,3,close_filt,MLP,-0.1257262530485956,187.20290768941243,-0.1770304355300055,0.5279288540370904,789,15,2091.0,179.3
AZ31,3,close_filt,RF,-0.4269657252766743,171.86214366666667,-0.0360229792700807,0.8985819845915715,789,15,2091.0,52.7
AZ31,3,close_unfilt,ChemProp,0.3391473718273716,108.33580849965414,0.6541779798381677,0.0081507584541024,899,15,43.0,104.8
AZ31,3,close_unfilt,GBR,0.8123328614039073,72.34772046740916,0.9472254619248504,8.587614891713497e-08,899,15,2091.0,94.3
AZ31,3,close_unfilt,kNN_Tan,0.6209441382986096,90.65929209533856,0.926767714019075,6.870091608087196e-07,899,15,2091.0,0.0
AZ31,3,close_unfilt,MLP,0.8408882816477804,61.67413258552551,0.91879418176525,1.3188592010540385e-06,899,15,2091.0,261.5
AZ31,3,close_unfilt,RF,0.5051126873608158,98.435474,0.9119406279095388,2.195752018833343e-06,899,15,2091.0,148.2
AZ31,3,exact,ChemProp,-0.0634929008158975,182.27969207763672,-0.2625627419574887,0.3444476372667533,60,15,3.0,14.0
AZ31,3,exact,GBR,-0.1627866383772296,153.67260726572383,0.2757059966128105,0.3199198539117841,60,15,2051.0,9.8
AZ31,3,exact,kNN_Tan,-0.2362528266640666,178.43944702678485,0.0285591634034443,0.9195243665155975,60,15,2051.0,0.1
AZ31,3,exact,MLP,-0.0542188416155473,182.3012840906779,0.0549961546446964,0.8456539933769852,60,15,2051.0,15.6
AZ31,3,exact,RF,-0.2264341031515755,159.60861333333335,0.2777651279246107,0.316170630847696,60,15,2051.0,11.0
AZ31,3,far_filt,ChemProp,0.0064593729542473,139.87083706855773,0.3357207484348194,0.2212020893258087,4709,15,48.0,648.0
AZ31,3,far_filt,GBR,-0.3046119846069444,177.88407011037037,-0.1717917227405971,0.5404027070653638,4709,15,2096.0,1748.8
AZ31,3,far_filt,kNN_Tan,-0.4147845142851731,181.23520049029352,-0.1073656553927357,0.7033110136339896,4709,15,2096.0,0.0
AZ31,3,far_filt,MLP,-0.1678971348950344,165.1594362894694,0.15927783866457,0.5707116250472438,4709,15,2096.0,1010.8
AZ31,3,far_filt,RF,-0.4230079484011417,171.76831717460314,-0.0206593036708253,0.9417435500973044,4709,15,2096.0,1399.7
AZ31,3,far_unfilt,ChemProp,0.1999102756680836,109.62407989607505,0.518137717521208,0.0478620478051839,4854,15,48.0,658.4
AZ31,3,far_unfilt,GBR,0.5260007850237827,111.40989994101638,0.9080452351989045,2.8813333703023945e-06,4854,15,2096.0,963.3
AZ31,3,far_unfilt,kNN_Tan,0.7001574862102423,78.53051952451294,0.8742193315419663,2.0289112383032976e-05,4854,15,2096.0,0.1
AZ31,3,far_unfilt,MLP,0.793438800952571,74.33106377919515,0.9012438072629196,4.505189142334163e-06,4854,15,2096.0,1126.4
AZ31,3,far_unfilt,RF,0.4454214743688868,103.55936266666669,0.8990256637527743,5.176377750082235e-06,4854,15,2096.0,1667.1
AZ31,4,close_filt,ChemProp,-0.5295786347931049,102.75228729248047,0.2698776506622162,0.3306696473063913,800,15,43.0,58.6
AZ31,4,close_filt,GBR,0.0659475673465094,72.04271555378836,0.3187854724359437,0.2468348528861093,800,15,2091.0,93.6
AZ31,4,close_filt,kNN_Tan,-5.869799915436009,158.3700627541075,-0.2376865309775686,0.3936496708326377,800,15,2091.0,0.0
AZ31,4,close_filt,MLP,-0.6682878478722218,123.63939018249512,0.3126524486428532,0.2565495605832044,800,15,2091.0,181.7
AZ31,4,close_filt,RF,0.2514371942772643,58.46397288888889,0.5266507266457123,0.0436983402779021,800,15,2091.0,53.9
AZ31,4,close_unfilt,ChemProp,0.2698865261300127,77.5884822209676,0.6357962278997616,0.0108473435535669,899,15,43.0,105.3
AZ31,4,close_unfilt,GBR,0.6251398019393782,46.00346622861592,0.8899914301098968,8.834224664267496e-06,899,15,2091.0,99.8
AZ31,4,close_unfilt,kNN_Tan,0.7439194244406382,34.55738959408978,0.8730649954493277,2.1468130115495423e-05,899,15,2091.0,0.0
AZ31,4,close_unfilt,MLP,0.7495680930019657,33.8897928237915,0.9071354935097228,3.064834035023786e-06,899,15,2091.0,244.5
