Unnamed: 0,index,IUPAC,isomeric_SMILES,BaseMaterial,Alloy,Method,AggressiveComponent,Operating_Concentration_mM,IE,References,Year,Journal,canonical_SMILES,transformed_IE,transformed_smiles,transformed_alloy,transformed_base_material
4731,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Cu,pure,potentiodynamic polarization,0.5M HCl,5.0,85.9,"SNIHIROVA, D., TARYBA, M., LAMAKA, S. V. & MONTEMOR, M. F.",2016,Corrosion Science,S=c1[nH][nH]c(=S)s1,47.92916281166379,E~ar<dH><dH>a{~E}er,SAMPLE_38,BASE_2
4732,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Cu,pure,potentiodynamic polarization,0.5M HCl,7.7,90.7,"SNIHIROVA, D., TARYBA, M., LAMAKA, S. V. & MONTEMOR, M. F.",2016,Corrosion Science,S=c1[nH][nH]c(=S)s1,43.89861376984413,E~ar<dH><dH>a{~E}er,SAMPLE_38,BASE_2
4733,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Cu,pure,potentiodynamic polarization,0.5M HCl,10.0,84.3,"SNIHIROVA, D., TARYBA, M., LAMAKA, S. V. & MONTEMOR, M. F.",2016,Corrosion Science,S=c1[nH][nH]c(=S)s1,48.97017309154842,E~ar<dH><dH>a{~E}er,SAMPLE_38,BASE_2
4734,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Mg,CPMg220ppmFe,H2 evolution,0.5 wt.% NaCl,50.0,55,(Lamaka et al.;2017),2017,Corrosion Science,S=c1[nH][nH]c(=S)s1,59.16858537032404,E~ar<dH><dH>a{~E}er,SAMPLE_20,BASE_4
4735,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Mg,HPMg50ppmFe,H2 evolution,0.5 wt.% NaCl,50.0,67,(Lamaka et al.;2017),2017,Corrosion Science,S=c1[nH][nH]c(=S)s1,56.16470836177948,E~ar<dH><dH>a{~E}er,SAMPLE_27,BASE_4
4736,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Mg,WE43,H2 evolution,0.5 wt.% NaCl,50.0,-79,(Lamaka et al.;2017),2017,Corrosion Science,S=c1[nH][nH]c(=S)s1,72.54100878138236,E~ar<dH><dH>a{~E}er,SAMPLE_33,BASE_4
4737,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Mg,E21,H2 evolution,0.5 wt.% NaCl,50.0,-74,(Lamaka et al.;2017),2017,Corrosion Science,S=c1[nH][nH]c(=S)s1,72.26662540156525,E~ar<dH><dH>a{~E}er,SAMPLE_26,BASE_4
4738,1214,1;3;4-thiadiazolidine-2;5-dithione(DMTD; 2;5-dimercapto-1;3;4-thiadiazolate),S=c1[nH][nH]c(=S)s1,Mg,AM50,H2 evolution,0.5 wt.% NaCl,50.0,-218,(Lamaka et al.;2017),2017,Corrosion Science,S=c1[nH][nH]c(=S)s1,78.10669404587458,E~ar<dH><dH>a{~E}er,SAMPLE_14,BASE_4
4739,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,60,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,58.02784659586809,E~ar<dH>aeaaaaae<dH>r,SAMPLE_4,BASE_1
4740,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,44.601467137007646,E~ar<dH>aeaaaaae<dH>r,SAMPLE_4,BASE_1
4741,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,80,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,51.31465686643787,E~ar<dH>aeaaaaae<dH>r,SAMPLE_4,BASE_1
4742,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,80,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,51.31465686643787,E~ar<dH>aeaaaaae<dH>r,SAMPLE_4,BASE_1
4743,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,44.601467137007646,E~ar<dH>aeaaaaae<dH>r,SAMPLE_12,BASE_1
4744,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,44.601467137007646,E~ar<dH>aeaaaaae<dH>r,SAMPLE_12,BASE_1
4745,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,44.601467137007646,E~ar<dH>aeaaaaae<dH>r,SAMPLE_12,BASE_1
4746,1215,1;3-dihydrobenzimidazole-2-thione(2-mercaptobenzimidazole; MBI),S=c1[nH]c2ccccc2[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1[nH]c2ccccc2[nH]1,44.601467137007646,E~ar<dH>aeaaaaae<dH>r,SAMPLE_12,BASE_1
4747,1216,3H-1;3-benzothiazole-2-thione(2-mercaptobenzothiazole; MBT),S=c1[nH]c2ccccc2s1,Al,AA2024-T3,weight loss,0.1M NaCl,1.0,95,"HARVEY, T. G., HARDIN, S. G., HUGHES, A. E., MUSTER, T. H., WHITE, P. A., MARKLEY, T. A., CORRIGAN, P. A., MARDEL, J., GARCIA, S. J., MOL, J. M. C. & GLENN, A. M.",2011,Corrosion Science,S=c1[nH]c2ccccc2s1,37.88827740757743,E~ar<dH>aeaaaaaeer,SAMPLE_4,BASE_1
4748,1216,3H-1;3-benzothiazole-2-thione(2-mercaptobenzothiazole; MBT),S=c1[nH]c2ccccc2s1,Al,AA7075,weight loss,0.1M NaCl,1.0,91,"HARVEY, T. G., HARDIN, S. G., HUGHES, A. E., MUSTER, T. H., WHITE, P. A., MARKLEY, T. A., CORRIGAN, P. A., MARDEL, J., GARCIA, S. J., MOL, J. M. C. & GLENN, A. M.",2011,Corrosion Science,S=c1[nH]c2ccccc2s1,43.581041531250705,E~ar<dH>aeaaaaaeer,SAMPLE_11,BASE_1
4749,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,44.601467137007646,E~arda<dH><dH>r,SAMPLE_4,BASE_1
4750,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,70,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,55.24162111838095,E~arda<dH><dH>r,SAMPLE_4,BASE_1
4751,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,80,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,51.31465686643787,E~arda<dH><dH>r,SAMPLE_4,BASE_1
4752,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,70,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,55.24162111838095,E~arda<dH><dH>r,SAMPLE_4,BASE_1
4753,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,44.601467137007646,E~arda<dH><dH>r,SAMPLE_12,BASE_1
4754,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,44.601467137007646,E~arda<dH><dH>r,SAMPLE_12,BASE_1
4755,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,44.601467137007646,E~arda<dH><dH>r,SAMPLE_12,BASE_1
4756,1218,1;2-dihydro-1;2;4-triazole-3-thione (1;2;4-triazole-3-thiol),S=c1nc[nH][nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,90,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nc[nH][nH]1,44.601467137007646,E~arda<dH><dH>r,SAMPLE_12,BASE_1
4757,1219,2-mercaptopyrimidine,S=c1nccc[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,70,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nccc[nH]1,55.24162111838095,E~ardaaa<dH>r,SAMPLE_12,BASE_1
4758,1219,2-mercaptopyrimidine,S=c1nccc[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,80,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nccc[nH]1,51.31465686643787,E~ardaaa<dH>r,SAMPLE_12,BASE_1
4759,1219,2-mercaptopyrimidine,S=c1nccc[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,70,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nccc[nH]1,55.24162111838095,E~ardaaa<dH>r,SAMPLE_12,BASE_1
4760,1219,2-mercaptopyrimidine,S=c1nccc[nH]1,Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,70,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,S=c1nccc[nH]1,55.24162111838095,E~ardaaa<dH>r,SAMPLE_12,BASE_1
4761,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,gravimetry,1M HCl,0.1,70.2,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,55.176837696023334,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4762,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,gravimetry,1M HCl,1.0,92,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,42.44030275679476,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4763,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,gravimetry,1M HCl,5.0,94.9,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,38.0800675466833,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4764,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,gravimetry,1M HCl,10.0,99.1,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,21.280307962747226,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4765,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,impedance,1M HCl,0.1,58.2,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,58.454153895946384,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4766,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,impedance,1M HCl,1.0,84,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,49.15349248622498,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4767,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,impedance,1M HCl,5.0,89.5,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,45.074004050069675,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4768,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Al,unknown_probably_pure,impedance,1M HCl,10.0,92.6,"KHALED, K. F. & AL-QAHTANI, M. M.",2009,Materials Chemistry and Physics,S=c1nn[nH]n1-c1ccccc1,41.685238559516755,E~ardd<dH>drMaraaaaar,SAMPLE_40,BASE_1
4769,1220,1-phenyl-2H-tetrazole-5-thione (1-phenyl-1H-tetrazole-5-thiol),S=c1nn[nH]n1-c1ccccc1,Cu,OFHC,polarization resistance,0.1 M NaCl,1.0,99.7,"ZUCCHI, F., TRABANELLI, G. & FONSATI, M.",1996,Corros. Sci,S=c1nn[nH]n1-c1ccccc1,10.640153981373768,E~ardd<dH>drMaraaaaar,SAMPLE_31,BASE_2
4770,1222,benzenethiol(Thiophenol),Sc1ccccc1,Al,AA2024-T3,weight loss,0.1M NaCl,1.0,93,"WINKLER, D. A., BREEDON, M., HUGHES, A. E., BURDEN, F. R., BARNARD, A. S., HARVEY, T. G. & COLE, I.",2014,Green Chemistry,Sc1ccccc1,41.14703979812659,Earaaaaar,SAMPLE_4,BASE_1
4771,1222,benzenethiol(Thiophenol),Sc1ccccc1,Al,AA7075-T6,weight loss,0.1M NaCl,1.0,87,"WINKLER, D. A., BREEDON, M., HUGHES, A. E., BURDEN, F. R., BARNARD, A. S., HARVEY, T. G. & COLE, I.",2014,Green Chemistry,Sc1ccccc1,47.142487478704545,Earaaaaar,SAMPLE_12,BASE_1
4772,1223,1H-pyrimidine-2;4-dithione (2;4-dimercaptopyrimidine),Sc1ccnc(S)n1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,-4,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Sc1ccnc(S)n1,67.2820566669952,Earaada{E}dr,SAMPLE_37,BASE_1
4773,1224,"5-((furan-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (FMT)",Sc1nc(/N=C/c2ccco2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,85,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2ccco2)n[nH]1,48.52843138895072,Earda{LD~ALaeaaabe}d<dH>r,SAMPLE_23,BASE_3
4774,1224,"5-((furan-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (FMT)",Sc1nc(/N=C/c2ccco2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,63,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2ccco2)n[nH]1,57.272782398590074,Earda{LD~ALaeaaabe}d<dH>r,SAMPLE_23,BASE_3
4775,1224,"5-((furan-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (FMT)",Sc1nc(/N=C/c2ccco2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,76,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2ccco2)n[nH]1,53.080456738168074,Earda{LD~ALaeaaabe}d<dH>r,SAMPLE_23,BASE_3
4776,1224,"5-((furan-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (FMT)",Sc1nc(/N=C/c2ccco2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,90,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2ccco2)n[nH]1,44.601467137007646,Earda{LD~ALaeaaabe}d<dH>r,SAMPLE_23,BASE_3
4777,1225,"5-((thiophen-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (TMT)",Sc1nc(/N=C/c2cccs2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,87,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2cccs2)n[nH]1,47.142487478704545,Earda{LD~ALaeaaaee}d<dH>r,SAMPLE_23,BASE_3
4778,1225,"5-((thiophen-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (TMT)",Sc1nc(/N=C/c2cccs2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,75,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2cccs2)n[nH]1,53.47582124665074,Earda{LD~ALaeaaaee}d<dH>r,SAMPLE_23,BASE_3
4779,1225,"5-((thiophen-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (TMT)",Sc1nc(/N=C/c2cccs2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,82,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2cccs2)n[nH]1,50.29423126068093,Earda{LD~ALaeaaaee}d<dH>r,SAMPLE_23,BASE_3
4780,1225,"5-((thiophen-2-yl)methyleneamino)-2H-1,2,4-triazole-3-thiol (TMT)",Sc1nc(/N=C/c2cccs2)n[nH]1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,93,Corrosion inhibition property of azomethine functionalized triazole derivatives in 1 mol L−1 HCl medium for mild steel: Experimental and theoretical exploration,2020,Journal of Molecular Liquids,Sc1nc(/N=C/c2cccs2)n[nH]1,41.14703979812659,Earda{LD~ALaeaaaee}d<dH>r,SAMPLE_23,BASE_3
4781,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA2024-T3,weight loss,0.1M NaCl,1.0,89,"WINKLER, D. A., BREEDON, M., HUGHES, A. E., BURDEN, F. R., BARNARD, A. S., HARVEY, T. G. & COLE, I.",2014,Green Chemistry,Sc1ncccn1,45.52455438040617,Eardaaadr,SAMPLE_4,BASE_1
4782,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,30,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,Sc1ncccn1,63.44777336663013,Eardaaadr,SAMPLE_4,BASE_1
4783,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,30,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,Sc1ncccn1,63.44777336663013,Eardaaadr,SAMPLE_4,BASE_1
4784,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,20,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,Sc1ncccn1,64.74103632529831,Eardaaadr,SAMPLE_4,BASE_1
4785,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA2024-T3,optical inspection,0.1M NaCl,1.0,10,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,Sc1ncccn1,65.88177509975425,Eardaaadr,SAMPLE_4,BASE_1
4786,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,AA7075-T6,weight loss,0.1M NaCl,1.0,50,"WINKLER, D. A., BREEDON, M., HUGHES, A. E., BURDEN, F. R., BARNARD, A. S., HARVEY, T. G. & COLE, I.",2014,Green Chemistry,Sc1ncccn1,60.189010976080965,Eardaaadr,SAMPLE_12,BASE_1
4787,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,-88,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,Sc1ncccn1,73.01612185765447,Eardaaadr,SAMPLE_37,BASE_1
4788,1227,1H-pyrimidine-2-thione(Pyrimidine-2-thiol),Sc1ncccn1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,59.5,In-depth insight into the inhibition mechanism of pyrimidine derivatives on the corrosion of carbon steel in CO2-containing environment based on experiments and theoretical calculations,2021,Corrosion Science,Sc1ncccn1,58.148159764567104,Eardaaadr,SAMPLE_23,BASE_3
4789,1230,"1,3-diphenethyl-1H-imidazol-3-ium bromide",[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,92.1,"Electrochemical, DFT and MD simulation of newly synthesized triazolotriazepine derivatives as corrosion inhibitors for carbon steel in 1 M HCl",2018,Journal of Molecular Liquids,[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,42.31847617524305,<XM>!araaa{AAdeaa<dT>{AAataaaaat}ae}aar,SAMPLE_23,BASE_3
4790,1230,"1,3-diphenethyl-1H-imidazol-3-ium bromide",[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,95.7,"Electrochemical, DFT and MD simulation of newly synthesized triazolotriazepine derivatives as corrosion inhibitors for carbon steel in 1 M HCl",2018,Journal of Molecular Liquids,[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,36.42754482043587,<XM>!araaa{AAdeaa<dT>{AAataaaaat}ae}aar,SAMPLE_23,BASE_3
4791,1230,"1,3-diphenethyl-1H-imidazol-3-ium bromide",[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,87.4,"A detailed electronic-scale DFT modeling/MD simulation, electrochemical and surface morphological explorations of imidazolium-based ionic liquids as sustainable and non-toxic corrosion inhibitors for mild steel in 1 M HCl",2023,Materials Science and Engineering: B,[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,46.83980392179988,<XM>!araaa{AAdeaa<dT>{AAataaaaat}ae}aar,SAMPLE_23,BASE_3
4792,1230,"1,3-diphenethyl-1H-imidazol-3-ium bromide",[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,86.3,"New fluorinated imidazolium ionic liquids: Ecofriendly synthesis, structural, in silico analysis and identification of antitumor pharmacophore sites",2023,Inorganica Chimica Acta,[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,47.65043607849737,<XM>!araaa{AAdeaa<dT>{AAataaaaat}ae}aar,SAMPLE_23,BASE_3
4793,1231,3-benzyl-1-phenethyl-1H-imidazol-3-ium bromide ,[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,73.2,Experimental and theoretical approach for novel imidazolium ionic liquids as Smart ,2022,Arabian Journal of Chemistry,[Br-].c1ccc(CCn2cc[n+](Cc3ccccc3)c2)cc1,54.14918711004981,<XM>!araaa{AAdeaa<dT>{Aataaaaat}ae}aar,SAMPLE_23,BASE_3
